PIMMS_m/z,RT_PIMMS,CCS_PIMMS,DT_PIMMS,PIMMS_Intensity,Compound,Match_ID,Classification Type,Sample,RT,DT,CCS,Peak_mz,Peak_intensity,SourceFile,Peak_mz_1,Intensity_1,Peak_mz_2,Intensity_2,Intensity_3,Kaufman_C,m_over_C,mass_defect,md_over_C
244.9074,6.4,136.7,17.86,40889.999,40,No Match,unmatched,131 1673 - Serum.d.DeMP,6.39,17.8568286895752,136.739929199219,250.89842,965.0,131 1673 - Serum.d.DeMP.cef,244.90812,40890.0,245.91052,3173.0,40466.0,6.962623133704855,35.17469139101356,-0.09188000000000329,-0.013196175957769148
244.9074,6.4,136.7,17.86,7678.999,42,No Match,unmatched,132 1673 - Mitra.d.DeMP,6.39,17.8568286895752,136.739929199219,244.90767,7679.0,132 1673 - Mitra.d.DeMP.cef,244.90767,7679.0,245.91028,546.0,7383.0,6.3798123108293625,38.38791144126347,-0.09233000000000402,-0.014472212582692939
244.9074,6.4,136.7,17.86,7678.999,42,No Match,unmatched,132 1673 - Mitra.d.DeMP,6.39,17.8568286895752,136.739929199219,245.91028,546.0,132 1673 - Mitra.d.DeMP.cef,244.90767,7679.0,245.91028,546.0,7383.0,6.3798123108293625,38.38791144126347,-0.09233000000000402,-0.014472212582692939
244.9074,6.4,136.7,17.86,7678.999,42,No Match,unmatched,132 1673 - Mitra.d.DeMP,6.39,17.8568286895752,136.739929199219,246.90485,7383.0,132 1673 - Mitra.d.DeMP.cef,244.90767,7679.0,245.91028,546.0,7383.0,6.3798123108293625,38.38791144126347,-0.09233000000000402,-0.014472212582692939
244.9074,6.4,136.7,17.86,7678.999,42,No Match,unmatched,132 1673 - Mitra.d.DeMP,6.39,17.8568286895752,136.739929199219,247.90666,468.0,132 1673 - Mitra.d.DeMP.cef,244.90767,7679.0,245.91028,546.0,7383.0,6.3798123108293625,38.38791144126347,-0.09233000000000402,-0.014472212582692939
244.9074,6.4,136.7,17.86,7678.999,42,No Match,unmatched,132 1673 - Mitra.d.DeMP,6.39,17.8568286895752,136.739929199219,248.90116,2100.0,132 1673 - Mitra.d.DeMP.cef,244.90767,7679.0,245.91028,546.0,7383.0,6.3798123108293625,38.38791144126347,-0.09233000000000402,-0.014472212582692939
244.9074,6.4,136.7,17.86,7678.999,42,No Match,unmatched,132 1673 - Mitra.d.DeMP,6.39,17.8568286895752,136.739929199219,249.90432,162.0,132 1673 - Mitra.d.DeMP.cef,244.90767,7679.0,245.91028,546.0,7383.0,6.3798123108293625,38.38791144126347,-0.09233000000000402,-0.014472212582692939
244.9074,6.4,136.7,17.86,7678.999,42,No Match,unmatched,132 1673 - Mitra.d.DeMP,6.39,17.8568286895752,136.739929199219,250.89814,172.0,132 1673 - Mitra.d.DeMP.cef,244.90767,7679.0,245.91028,546.0,7383.0,6.3798123108293625,38.38791144126347,-0.09233000000000402,-0.014472212582692939
244.9074,6.4,136.7,17.86,4810.999,40,No Match,unmatched,133 1673 - DBS.d.DeMP,6.39,17.8568286895752,136.739929199219,244.90737,4811.0,133 1673 - DBS.d.DeMP.cef,244.90737,4811.0,245.90984,312.0,4622.0,5.818876828085481,42.08842655302932,-0.09263000000001398,-0.015918879662983172
244.9074,6.4,136.7,17.86,4810.999,40,No Match,unmatched,133 1673 - DBS.d.DeMP,6.39,17.8568286895752,136.739929199219,245.90984,312.0,133 1673 - DBS.d.DeMP.cef,244.90737,4811.0,245.90984,312.0,4622.0,5.818876828085481,42.08842655302932,-0.09263000000001398,-0.015918879662983172
244.9074,6.4,136.7,17.86,4810.999,40,No Match,unmatched,133 1673 - DBS.d.DeMP,6.39,17.8568286895752,136.739929199219,246.90451,4622.0,133 1673 - DBS.d.DeMP.cef,244.90737,4811.0,245.90984,312.0,4622.0,5.818876828085481,42.08842655302932,-0.09263000000001398,-0.015918879662983172
244.9074,6.4,136.7,17.86,4810.999,40,No Match,unmatched,133 1673 - DBS.d.DeMP,6.39,17.8568286895752,136.739929199219,247.90669,347.0,133 1673 - DBS.d.DeMP.cef,244.90737,4811.0,245.90984,312.0,4622.0,5.818876828085481,42.08842655302932,-0.09263000000001398,-0.015918879662983172
244.9074,6.4,136.7,17.86,4810.999,40,No Match,unmatched,133 1673 - DBS.d.DeMP,6.39,17.8568286895752,136.739929199219,248.90123,1231.0,133 1673 - DBS.d.DeMP.cef,244.90737,4811.0,245.90984,312.0,4622.0,5.818876828085481,42.08842655302932,-0.09263000000001398,-0.015918879662983172
244.9074,6.4,136.7,17.86,4810.999,40,No Match,unmatched,133 1673 - DBS.d.DeMP,6.39,17.8568286895752,136.739929199219,249.90464,85.0,133 1673 - DBS.d.DeMP.cef,244.90737,4811.0,245.90984,312.0,4622.0,5.818876828085481,42.08842655302932,-0.09263000000001398,-0.015918879662983172
244.9074,6.4,136.7,17.86,4810.999,40,No Match,unmatched,133 1673 - DBS.d.DeMP,6.39,17.8568286895752,136.739929199219,250.89845,98.0,133 1673 - DBS.d.DeMP.cef,244.90737,4811.0,245.90984,312.0,4622.0,5.818876828085481,42.08842655302932,-0.09263000000001398,-0.015918879662983172
